# Aluminum optical constants from Johnson & Christy (1972)
# Reference: P.B. Johnson and R.W. Christy, Phys. Rev. B 6, 4370 (1972)
# wl: wavelength in micrometers
# n: refractive index (real part)
# k: extinction coefficient
wl,n,k
0.200,0.113,2.23
0.250,0.190,2.94
0.300,0.276,3.61
0.350,0.389,4.23
0.400,0.491,4.86
0.450,0.622,5.47
0.500,0.769,6.08
0.550,0.933,6.69
0.600,1.08,7.26
0.650,1.24,7.79
0.700,1.55,8.01
0.750,1.83,7.95
0.800,2.06,7.65
0.850,2.22,7.15
0.900,1.92,7.70
0.950,1.58,8.50
1.000,1.32,9.58
1.050,1.25,10.51
1.100,1.33,11.39
1.150,1.52,12.21
1.200,1.80,12.94
1.300,2.35,14.24
1.400,2.85,15.38
1.500,3.35,16.40
1.600,3.84,17.30
1.800,4.84,18.87
2.000,5.87,20.24
