wl,n,k
0.25,1.562,5e-05
0.26,1.555,4.5e-05
0.27,1.549,4e-05
0.28,1.543,3.5e-05
0.29,1.538,3.2e-05
0.3,1.533,3e-05
0.31,1.529,2.5e-05
0.32,1.525,2e-05
0.33,1.522,1.8e-05
0.34,1.519,1.5e-05
0.35,1.517,1.2e-05
0.36,1.514,8e-06
0.37,1.512,5e-06
0.38,1.51,3.5e-06
0.39,1.508,3e-06
0.4,1.507,2.62e-06
0.41,1.505,1.65e-06
0.42,1.504,1.28e-06
0.43,1.503,1.11e-06
0.44,1.502,1.02e-06
0.45,1.501,9.66e-07
0.46,1.5,9.2e-07
0.47,1.499,8.8e-07
0.48,1.498,8.43e-07
0.49,1.497,8.11e-07
0.5,1.496,7.79e-07
0.51,1.496,7.49e-07
0.52,1.495,7.24e-07
0.53,1.494,6.98e-07
0.54,1.494,6.74e-07
0.55,1.493,6.52e-07
0.56,1.493,6.29e-07
0.57,1.492,6.1e-07
0.58,1.492,5.89e-07
0.59,1.491,5.71e-07
0.6,1.491,5.52e-07
0.61,1.49,5.37e-07
0.62,1.49,5.19e-07
0.63,1.49,5.03e-07
0.64,1.489,4.91e-07
0.65,1.489,4.79e-07
0.66,1.489,4.6e-07
0.67,1.488,4.42e-07
0.68,1.488,4.31e-07
0.69,1.488,4.18e-07
0.7,1.488,4.08e-07
0.71,1.487,3.98e-07
0.72,1.487,3.9e-07
0.73,1.487,3.85e-07
0.74,1.487,3.88e-07
0.75,1.487,3.97e-07
0.76,1.486,3.99e-07
0.77,1.486,3.78e-07
0.78,1.486,3.47e-07
0.79,1.486,3.27e-07
0.8,1.486,3.18e-07
0.81,1.486,3.18e-07
0.82,1.485,3.19e-07
0.83,1.485,3.21e-07
0.84,1.485,3.18e-07
0.85,1.485,3.08e-07
0.86,1.485,3e-07
0.87,1.485,3.05e-07
0.88,1.485,3.3e-07
0.89,1.484,3.91e-07
0.9,1.484,4.84e-07
0.91,1.484,6.49e-07
0.92,1.484,9.1e-07
0.93,1.484,1.1e-06
0.94,1.484,9.66e-07
0.95,1.484,6.1e-07
0.96,1.484,3.51e-07
0.97,1.484,2.98e-07
0.98,1.483,2.84e-07
0.99,1.483,3.06e-07
1.0,1.483,3.71e-07
1.01,1.483,4.59e-07
1.02,1.483,5.51e-07
1.03,1.483,6.48e-07
1.04,1.483,7.03e-07
1.05,1.483,6.73e-07
1.06,1.483,5.79e-07
1.07,1.483,4.9e-07
1.08,1.483,4.19e-07
1.09,1.483,3.77e-07
1.1,1.483,3.65e-07
1.11,1.483,3.93e-07
1.12,1.482,4.77e-07
1.13,1.482,6.69e-07
